id,category,stem,options,answer,action,reason,source
qi_item_ZQZhGoP6m7eG,A-依赖图（答案在图里）,如图所示，驾驶机动车遇到这种情形，以下做法正确的是什么？,加速通过 | 鸣喇叭提醒行人让行 | 减速让行，必要时停车 | 变换远近光灯催促行人,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_TtPv-0zBAFx0,A-依赖图（答案在图里）,图中圈内三角填充区域是什么标线？,网状线 | 停车线 | 减速线 | 导流线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_BxdLHiRBVEAa,A-依赖图（答案在图里）,这个路面标记是什么标线？,禁驶区 | 网状线 | 导流线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_u_oJgt6wJmqx,A-依赖图（答案在图里）,这个路面标记是什么标线？,禁驶区 | 网状线 | 中心圈,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_-WF_7eYjPCCA,A-依赖图（答案在图里）,图中路口中央黄色路面标记是什么标线？,中心圈 | 导流线 | 网状线 | 停车区,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_3sOC81R2Dl5O,A-依赖图（答案在图里）,路面上的黄色标记是何含义？,禁止左转 | 禁止掉头 | 禁止右转 | 禁止直行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_O7GKA8ySXhK7,E-纯文字但无法确认,正面安全气囊与什么配合才能充分发挥保护作用？,座椅安全带 | 防抱死制动系统 | 座椅安全头枕,,人工查证,正确答案不能为空,OCR录入
qi_item_90gI_rrfB3j7,A-依赖图（答案在图里）,如图所示，驾驶机动车在遇这种情况时，我方车辆不能超越是因为什么？,前车正在超车 | 我方车速不足以超越前车 | 前车速度过快 | 路中心线为黄线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_lR-xijPjx0DA,A-依赖图（答案在图里）,如图所示，驾驶机动车在这种情况下，当C车减速让超车时，A车应该如何行驶？,放弃超越C车 | 加速超越C车 | 鸣喇叭示意B车让行后超车 | 直接向左变更车道，迫使B车让行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_7fRsAkzTscQl,A-依赖图（答案在图里）,如图所示，在这种情况下通过交叉路口时，不得超车的原因是什么？,路口设有信号灯 | 路口有交通监控设备 | 机动车速度慢，不足以超越前车 | 路口内交通情况复杂，易发生交通事故,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_N7Qiy9AntP_o,A-依赖图（答案在图里）,如图所示，在超车过程中，遇对向有来车时要放弃超车是因为什么？,对向来车车速快 | 我方车辆提速太慢 | 如继续超车，易与对面机动车发生刮擦、相撞 | 前车车速太快,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_o6Re-fEAhU0f,A-依赖图（答案在图里）,路面上白色虚线和三角地带标线组成的是什么标线？,道路入口标线 | 可跨越式分道线 | 道路入口减速线 | 道路出口标线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_PZf0_Wc2b1EH,A-依赖图（答案在图里）,这种停车标线含义是什么？,专用待客停车位 | 专用上下客停车位 | 固定停车方向停车位 | 机动车限时停车位,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_JVIcy8ri7Jan,A-依赖图（答案在图里）,红圈内导向箭头含义是（ ）。,指示车道 | 指示禁行 | 指示合流,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_7H3-orLq4z0Y,A-依赖图（答案在图里）,红圈内导向箭头含义是（ ）。,指示前方右转弯 | 指示向左变道 | 指示前方直行 | 指示前方左转弯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_RKhnS7R1dYa5,A-依赖图（答案在图里）,红圈内导向箭头含义是（ ）。,指示前方右转 | 指示前方掉头 | 指示前方直行 | 指示向左变道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_EJ9PV9ZtJeSc,A-依赖图（答案在图里）,如图所示，驾驶机动车行驶至此位置时，以下做法正确的是什么？,观察左侧无车后，可以左转 | 从该处直接左转 | 不得左转，应当直行 | 倒车退到虚线处换到左转车道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_fFuW2rCd3w-4,A-依赖图（答案在图里）,如图所示，A车若想左转，以下做法正确的是什么？,直行通过，重新选择行驶路线 | 从直行车道左转 | 直接变更到左转车道 | 向右转弯，重新选择行驶路线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_c6qN7r1lLMpS,A-依赖图（答案在图里）,如图所示，A车欲左转，该驾驶人存在的违法行为是什么？,压实线变更车道 | 穿插等候车辆 | 未按规定车道行驶 | 违反交通信号灯行驶,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_j_lYMnsz0FcY,F-已删除（重复副本，库内已有且答案正确）,正在变更车道的A车，涉及什么违法行为？,压实线变更车道 | 未按规定开启转向灯 | 未按规定车道行驶 | 该车没有违法行为,,✅ 已于本次执行删除,正确答案不能为空,OCR录入
qi_item_tu9a7zldsxBV,A-依赖图（答案在图里）,如图所示，驾驶机动车在路口遇到这种交通信号时，右转弯的车辆在不妨碍被放行的车辆、行人的情况下，可以通行。,正确 | 错误,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_yWzFcIlNLb0N,A-依赖图（答案在图里）,遇到图中所示的情况，应怎样行驶？,只要没有行人横过就可以加速通过 | 提前减速观察确认是否能安全通过 | 鸣喇叭告知两边的行人和非机动车 | 如果来不及减速就直接按常速通过,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_7u7EldOxuoQR,A-依赖图（答案在图里）,如图所示，在这种情况下通过路口，交替使用远、近光灯的目的是什么？,提示其他交通参与者注意来车 | 准备变更车道 | 超车前提示前车 | 检查灯光是否能正常使用,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_GudQa6rq8V5P,A-依赖图（答案在图里）,如图所示，在这种情况下跟车行驶，不能使用远光灯的原因是什么？,会影响前车驾驶人的视线 | 不利于看清车前的路况 | 会影响自己的视线 | 不利于看清远方的路况,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_CrTnHeOoXIKh,A-依赖图（答案在图里）,如图所示，夜间驾驶机动车与同方向行驶的前车距离较近时，以下做法正确的是什么？,使用远光灯，有利于观察路面情况 | 禁止使用远光灯，避免灯光照射至前车后视镜造成前车驾驶人眩目 | 使用远光灯，有利于告知前方驾驶人后方有来车,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_7u6WNuA5srgg,A-依赖图（答案在图里）,如图所示，在高速公路上开车遇到图中所示情况时，以下操作不正确的是什么？,应该打开雾灯、近光灯、示廓灯、前后位灯，危险报警闪光灯 | 能见度低，应该与同车道前车保持一定距离 | 降低车速，防止紧急情况下无法及时制动 | 继续维持高速行驶，防止后面车辆堵塞,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_0Jg1429SmKmo,A-依赖图（答案在图里）,如图所示，驾驶机动车在高速公路上因故障停车，以下说法正确的是什么？①该车未开启危险报警闪光灯②该驾驶人设置的警告标志与车辆之间的距离不足150米③该车骑压应急车道分界线，未完全停在应急车道内,①② | ①②③ | ①③,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_5u22-yHPRAb0,A-依赖图（答案在图里）,如图所示，该机动车在应急车道内停车，以下说法正确的是什么？①未开启危险报警闪光灯②警告标志放置距离不足150米③车上人员未转移到安全区域,①②③ | ①② | ②③,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_PyGXvUlLjsRi,A-依赖图（答案在图里）,如图所示，机动车在高速公路上因故障无法移动、停在行车道上时，驾乘人员应在哪个位置等待救援？,图中位置B | 图中位置A | 图中位置C,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_iwdbJq99ncy6,F-已删除（OCR垃圾）,"录ノ
一键录入已启动
OCR悬浮窗录入
开启无障碍后，可在任意 App上方框选题目区域，OCR
识别并保存到题库。
打开悬浮录
间OCR 填本页
单选题
判断题
题目
选项
选项1
正确答案
选项2
正确答案",正确 | 错误,,✅ 已于本次执行删除,正确答案不能为空,OCR录入
qi_item_6CxSp5z9FPKm,E-纯文字但无法确认,这是什么操纵装置？,灯光开关 | 空调开关 | 点火开关 | 雨刷开关,,人工查证,正确答案不能为空,OCR录入
qi_item_I29GHuWP3iTR,A-依赖图（答案在图里）,提拉这个开关控制机动车哪个部位？,倒车灯 | 左右转向灯 | 示廓灯 | 报警闪光灯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_Zy0ktRgcS30C,A-依赖图（答案在图里）,如图所示，驾驶机动车遇到这种情形时，应注意哪些潜在危险？①B车可能借道超车②右侧行人可能穿越马路③出口可能有车辆驶出,②③ | ①②③ | ①③ | ①②,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_NZQJoMM3JFQk,A-依赖图（答案在图里）,如图所示，直行车辆遇到前方路口堵塞，以下说法正确的是什么？,等其他机动车进入路口时跟随行驶 | 等前方道路疏通后，且信号灯为绿灯时方可继续行驶 | 可以直接驶入路口内等待通行 | 只要信号灯为绿灯，就可通过,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_c2X59L1cvb4A,A-依赖图（答案在图里）,如图所示，驾驶机动车行驶至车道减少的路段时，遇前方机动车排队等候或行驶缓慢时，以下做法正确的是什么？,右侧车让左侧车先行 | 每车道一辆依次交替驶入左侧车道 | 左侧车让右侧车先行 | 右侧车寻找空隙提前进入左侧车道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_aK4Mmac6MKnt,A-依赖图（答案在图里）,如图所示，驾驶机动车在遇有前方机动车停车排队等候或者缓慢行驶时，以下做法正确的是什么？,从前方车辆两侧穿插 | 在路口外依次排队 | 驶入人行横道，停车等候 | 驶入网状线区域，停车等候,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_cYWvJjtuaiTe,A-依赖图（答案在图里）,图中车辆在拥堵路段排队行驶时，遇其他车辆强行穿插行驶，为保证安全，以下做法正确的是（ ）。,迅速躲避 | 提高车速不让其穿插 | 减速或停车让行 | 持续鸣喇叭警告,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_WxxDEGmzQL-k,A-依赖图（答案在图里）,如图所示，驾车驶近路口时，以下说法错误的是（ ）。,因视野受阻，应鸣喇叭提醒侧方来车 | 右前方视野受阻，如有车辆冲出易引发事故 | 己车有优先通行权，无需减速 | 为避免车辆从路口冲出，应降低车速,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_5k7IDP8z-Ctj,A-依赖图（答案在图里）,如图所示，驾驶机动车在路口右转弯时，遇相对方向行驶的车辆左转弯时，以下做法正确的是什么？,先让对面车左转弯 | 直接右转弯 | 连续鸣喇叭催促 | 抢在对面车前右转弯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_MwKGHu9q5LoI,A-依赖图（答案在图里）,图中交警手势的含义是（ ）。,左转弯待转信号 | 左转弯信号 | 减速慢行信号 | 右转弯信号,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_xKaoemEPK3H0,A-依赖图（答案在图里）,如图所示，A车货物掉落，导致B车与掉落货物发生碰撞，以下说法正确的是什么？,B车自负责任 | A车负全部责任 | 各负一半责任 | 偶然事件，不可避免,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_b7PXI-hERudN,A-依赖图（答案在图里）,在下图所示的交通事故中，有关事故责任认定，正确的说法是什么？,B车闯红灯，所以B车负全责 | B车可以右转，但不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍右转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故A车负全责,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_hFGTFlcvyM7Q,A-依赖图（答案在图里）,在下图所示的交通事故中，有关事故的责任认定，正确的说法是什么？,B车违反交通信号，所以B车负全责 | B车不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍左转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故B车负全责,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_fUcYmH9Z5y2i,A-依赖图（答案在图里）,当驾驶员看到以下标志时，需减速慢行，是因为什么？,前方车行道或路面变窄 | 前方有弯道 | 前方车流量较大 | 前方有窄桥,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_DAeAvx4JORx_,A-依赖图（答案在图里）,如图所示，在高速公路最左侧车道行驶，想驶离高速公路，以下说法正确的是什么？,立即减速后向右变更车道 | 为了快速变更车道，可以加速超越右侧车辆变更车道 | 每次变更一条车道，直到最右侧车道 | 找准机会一次变更到右侧车道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_ZLA14bZiNdxk,A-依赖图（答案在图里）,如图所示，驾驶机动车从匝道驶入高速公路时，以下做法正确的是什么？,提前开启右转向灯 | 在匝道上超车 | 直接加速驶入高速公路主线 | 提前开启左转向灯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_6XTlFeY8Mrby,F-已删除（重复副本，库内已有且答案正确）,在高速公路匝道遇前车速度较低时，以下哪种做法正确？,从左侧超越前车进入行车道 | 从右侧超越前车进入加速车道 | 跟随前车行驶 | 从左侧超越前车进入加速车道,,✅ 已于本次执行删除,正确答案不能为空,OCR录入
qi_item_sbNyyeHnQiTg,A-依赖图（答案在图里）,这属于哪一种标志？,旅游区标志 | 作业区标志 | 告示标志 | 高速公路标志,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_1fFhe1Cm3Shn,A-依赖图（答案在图里）,这个标志是何含义？,旅游区类别 | 旅游区距离 | 旅游区方向 | 旅游区符号,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_yzTupAznJt8t,A-依赖图（答案在图里）,如图所示，驾驶机动车遇到这种情况时，以下做法正确的是什么？,应停车察明水情，确认安全后，低速通过 | 应停车察明水情，确认安全后，快速通过 | 应减速观察水情，然后加速行驶通过 | 可随意通行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_nNPYMzzk7y8F,A-依赖图（答案在图里）,如图所示，驾驶机动车行经漫水桥时，以下做法正确的是什么？,无需观察，加速行驶通过 | 无需观察，低速行驶通过 | 猛踩加速踏板，快速通过 | 停车察明水情，确认安全后，低速通过,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_Mss3T02MbOVN,A-依赖图（答案在图里）,如图所示，行驶至这种上坡路段时，以下做法正确的是什么？,换低挡位，踏加速踏板 | 换低挡位，松开加速踏板 | 换高挡位，踏加速踏板 | 换高挡位，松开加速踏板,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_0GUqQ_62grxZ,F-已删除（重复副本，库内已有且答案正确）,车辆因故障等原因需被牵引时，以下说法正确的是什么？,前后车均应打开报警灯 | 所有车辆都应让行 | 两车尽量快速行驶 | 不受交通信号限制,,✅ 已于本次执行删除,正确答案不能为空,OCR录入
qi_item_YVBerIbcznjD,A-依赖图（答案在图里）,如图所示，驾驶机动车行驶至铁路道口时，以下做法正确的是什么？,在铁路道口掉头 | 在铁路道口倒车 | 无需观察，加速通过 | 停车等待,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_ruThmjExcWV2,A-依赖图（答案在图里）,如图所示，驾驶机动车遇到这种情况，以下做法正确的是什么？,减速慢行、鸣喇叭示意 | 为拓宽视野，临时占用左侧车道行驶 | 加速行驶 | 停车观察,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_E-kg2eue2lYM,A-依赖图（答案在图里）,如图所示，在这条城市道路上行驶的最高速度不能超过多少？,30公里/小时 | 40公里/小时 | 50公里/小时 | 70公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_HJc5XQ7OHxrf,A-依赖图（答案在图里）,如图所示，驾驶机动车在同方向只有1条机动车道的城市道路上行驶，最高行驶速度不得超过每小时多少公里？,30公里/小时 | 40公里/小时 | 50公里/小时 | 70公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_XFKakhck0mcw,A-依赖图（答案在图里）,如图所示，在没有道路中心线的城市道路上驾驶机动车，最高行驶速度不得超过每小时多少公里？,30 | 40 | 50 | 20,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_omo2XzLmEIks,A-依赖图（答案在图里）,如图所示，驾驶机动车在同方向只有1条机动车道的公路上行驶，最高行驶速度不得超过每小时多少公里？,70 | 40 | 60 | 50,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_Rc8BKuJI66wc,A-依赖图（答案在图里）,如图所示，夜间驾驶机动车右转弯之前要稍微向右后方回头观察，主要目的是为了确认以下哪种情况？,观察右后方盲区内是否有其他车辆和行人 | 确认本车是否开启右转向灯 | 确认本车是否在右转弯车道内,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_jevy2OzUbUx4,A-依赖图（答案在图里）,如图所示，夜间驾驶机动车遇对方使用远光灯，无法看清前方路况时，以下做法正确的是什么？,保持行驶方向和车速不变 | 自己也打开远光灯行驶 | 降低车速，谨慎会车 | 加速通过，尽快摆脱眩目光线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_NpqhzO7TCNcW,F-已删除（重复副本，库内已有且答案正确）,夜间行驶，与对向车道车辆交会时，以下做法正确的是？,保持使用远光灯 | 远光灯与近光灯之间不断来回切换 | 切换为近光灯 | 关闭灯光,,✅ 已于本次执行删除,正确答案不能为空,OCR录入
qi_item_TvI0n8mg3XN6,A-依赖图（答案在图里）,如图所示，前方有车辆从主路进入辅路时，怎么做是正确的？,减速或停车让主路驶出的车辆先进入辅路 | 鸣喇叭告知进入辅路的车辆停车让行 | 只要不影响主路驶出的车辆正常行驶就可加速通过 | 在辅路行驶的车辆有优先通行权，不用减速行驶,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_DzNDsSVqKS-8,A-依赖图（答案在图里）,如图所示，驾驶机动车在没有划分车道的道路上通行，以下做法正确的是什么？,机动车在道路左侧通行，非机动车和行人随意通行 | 机动车在道路左侧通行，非机动车和行人在道路两侧通行 | 机动车在道路中间通行，非机动车和行人在道路两侧通行 | 机动车、非机动车和行人可随意通行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_740pl04Gnbcy,A-依赖图（答案在图里）,这个标志是何含义？,观景台 | 停车场 | 休息区 | 停车位,,补图后看图定答案,正确答案不能为空,OCR录入
